# Extracted from 'Clusters_X_with_names' sheet of 20220202-ALL_data_FS_and_TTA_codons_in_clusters.xlsx
cofID	ORGS	NUM_FS_GENES	NUM_COF_ORGS	NUM_FS_and_TTA_GENES	NUM_TTA_GENES	NUM_TTA_GENE_ORGS	FULL_COF_GENES	FULL_COF_ORGS	FULL_COF_GENES_GBK	COF_NAME
1005128	Bacteria	2	2	0	5	4	7	6	5	ompa family protein
1005130	Bacteria	3	3	0	1	1	4	3	1	Unknown
1005137	Bacteria	4	4	1	0	0	4	4	1	Unknown
1005139	Bacteria	3	3	0	21	18	24	19	21	Unknown
1005140	Bacteria	8	8	0	2	2	10	10	2	abc transporter
1005141	Bacteria	6	6	1	1	1	7	7	2	ABC transporter ATP-binding protein
1005142	Bacteria	2	2	0	15	12	17	12	16	afsr/sarp family
1005143	Bacteria	9	9	0	1	1	10	10	1	Unknown
1005148	Bacteria	25	25	0	1	1	26	26	1	Unknown
1005150	Bacteria	2	2	0	4	4	6	6	4	serine hydrolase
1005151	Bacteria	13	11	4	59	34	72	41	65	XRE family transcriptional regulator
1005152	Bacteria	27	27	0	2	1	29	28	2	hypothetical protein
1005153	Bacteria	6	6	0	1	1	7	7	1	Unknown
1005155	Bacteria	6	6	0	4	4	10	9	4	phytanoyl-coa dioxygenase
1005156	Bacteria	15	15	0	4	4	19	18	4	duf58 domain-containing protein
1005158	Bacteria	2	2	0	2	2	4	4	2	atpase
1005159	Bacteria	6	6	0	1	1	7	7	1	Unknown
1005161	Bacteria	2	2	0	20	18	22	20	21	glycosyltransferase family 4 protein
1005162	Bacteria	2	2	0	0	0	2	2	1	Unknown
1005165	Bacteria	3	3	0	1	1	4	4	2	Unknown
1005166	Bacteria	9	9	0	2	2	11	11	2	m56 family peptidase
1005168	Bacteria	2	2	0	3	3	5	4	3	crotonyl-coa carboxylase/reductase
1005169	Bacteria	2	2	1	0	0	2	2	1	Unknown
1005170	Bacteria	4	4	0	1	1	5	5	1	Unknown
1005171	Bacteria	6	6	0	0	0	6	6	1	Unknown
1005172	Bacteria	10	10	0	12	12	22	20	13	sugar abc transporter substrate-binding protein
1005173	Bacteria	5	5	0	7	7	12	12	7	peptidase s15
1005174	Bacteria	2	2	1	12	11	14	13	13	sigma-70 family RNA polymerase sigma factor
1005178	Bacteria	3	2	0	15	13	18	13	16	ggdef domain-containing protein
1005179	Bacteria	2	1	2	16	13	18	14	16	hypothetical protein
1005182	Bacteria	14	7	3	13	12	27	19	14	KR domain-containing protein
1005185	Bacteria	9	9	0	3	3	12	12	3	cation-transporting atpase
1005186	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005192	Bacteria	8	8	0	4	4	12	12	4	acyl-coa dehydrogenase
1005193	Bacteria	2	2	0	2	2	4	4	2	hypothetical protein
1005195	Bacteria	2	2	0	2	2	4	4	3	abc transporter atp-binding protein
1005196	Bacteria	10	10	0	1	1	11	10	1	Unknown
1005197	Bacteria	2	2	1	1	1	3	3	2	lpxtg cell wall anchor domain-containing protein
1005198	Bacteria	9	9	0	5	5	14	13	5	Unknown
1005204	Bacteria	2	1	0	24	20	26	21	24	acyltransferase
1005205	Bacteria	14	13	0	1	1	15	14	1	Unknown
1005206	Bacteria	19	19	1	1	1	20	20	1	ABC transporter ATP-binding protein
1005208	Bacteria	3	3	0	5	5	8	8	5	arac family transcriptional regulator
1005213	Bacteria	4	4	0	1	1	5	5	1	Unknown
1005215	Bacteria	2	2	0	2	2	4	4	2	atp-dependent dna ligase
1005217	Bacteria	3	3	1	11	7	14	10	13	ParH-like protein
1005218	Bacteria	2	2	0	9	9	11	11	9	kr domain-containing protein
1005220	Bacteria	2	1	1	47	39	49	39	50	MFS transporter
1005221	Bacteria	2	2	0	12	10	14	12	12	Unknown
1005222	Bacteria	6	6	0	4	3	10	9	4	isopenicillin n synthase family oxygenase
1005223	Bacteria	3	3	0	16	16	19	18	16	protein phosphatase
1005224	Bacteria	2	2	1	2	2	4	3	4	serine/threonine protein kinase
1005226	Bacteria	2	2	0	6	6	8	6	6	response regulator
1005229	Bacteria	2	2	0	3	3	5	5	3	abc transporter
1005230	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005231	Bacteria	2	2	0	3	2	5	4	3	methyltransferase, fxld system
1005232	Bacteria	40	26	25	47	31	87	43	71	IS630 transposase
1005233	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005236	Bacteria	4	4	0	4	4	8	8	4	dctp deaminase
1005242	Bacteria	3	3	0	9	9	12	11	9	duf3152 domain-containing protein
1005245	Bacteria	11	11	0	1	1	12	12	1	Unknown
1005246	Bacteria	2	2	0	2	2	4	4	2	hypothetical protein
1005249	Bacteria	3	3	0	1	1	4	4	2	Unknown
1005251	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005252	Bacteria	3	3	0	8	7	11	8	8	ripp maturation radical sam protein 1
1005253	Bacteria	2	2	0	43	35	45	37	43	chitin-binding protein
1005254	Bacteria	3	3	0	3	3	6	6	3	eama/rhat family transporter
1005255	Bacteria	44	37	1	0	0	44	37	1	Unknown
1005256	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005259	Bacteria	4	3	0	6	4	10	7	6	is982 family transposase
1005261	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005264	Bacteria	2	2	0	3	3	5	5	3	alpha/beta hydrolase
1005265	Bacteria	8	8	0	2	2	10	10	2	glycosyltransferase family 2 protein
1005269	Bacteria	11	11	0	3	3	14	13	3	glycogen synthase
1005270	Bacteria	3	3	0	5	5	8	8	5	glycogen synthase
1005271	Bacteria	2	2	0	3	3	5	5	4	amidase
1005273	Bacteria	2	2	0	0	0	2	2	1	Unknown
1005274	Bacteria	8	8	0	1	1	9	9	1	Unknown
1005275	Bacteria	2	1	0	9	9	11	10	9	Unknown
1005276	Bacteria	3	1	0	1	1	4	2	1	Unknown
1005280	Bacteria	8	7	0	5	5	13	10	5	sodium-dependent transporter
1005281	Bacteria	2	2	0	5	5	7	7	5	Unknown
1005285	Bacteria	5	5	1	1	1	6	6	1	IS110 family transposase
1005286	Bacteria	2	2	0	2	1	4	3	2	hypothetical protein
1005292	Bacteria	6	5	1	4	4	10	8	5	IS701 family transposase
1005293	Bacteria	6	5	1	6	4	12	6	7	IS630 family transposase
1005296	Bacteria	2	2	0	6	6	8	8	7	arac family transcriptional regulator
1005297	Bacteria	4	4	1	3	3	7	7	3	IS5/IS1182 family transposase
1005299	Bacteria	5	4	0	5	2	10	6	5	is1380 family transposase
1005302	Bacteria	5	5	0	3	3	8	8	3	lipase
1005303	Bacteria	3	3	1	4	4	7	7	5	ATP-grasp ribosomal peptide maturase
1005304	Bacteria	8	7	0	5	3	13	10	5	multidrug abc transporter atpase
1005307	Bacteria	3	3	0	1	1	4	4	1	Unknown
1005309	Bacteria	2	2	0	2	2	4	3	2	hypothetical protein
1005310	Bacteria	3	3	0	8	8	11	11	8	cyclic nucleotide-binding domain-containing protein
1005311	Bacteria	13	11	7	14	9	27	19	14	IS5/IS1182 family transposase
1005312	Bacteria	2	2	0	3	3	5	5	3	hydrolase
1005314	Bacteria	5	5	0	1	1	6	6	1	Unknown
1005316	Bacteria	2	2	0	5	5	7	7	5	siderophore biosynthesis protein
1005317	Bacteria	9	9	0	2	2	11	10	2	atp-dependent clp protease proteolytic subunit
1005318	Bacteria	2	2	0	9	9	11	11	9	atp-binding protein
1005320	Bacteria	2	2	0	2	2	4	4	2	cupin domain-containing protein
1005321	Bacteria	4	4	0	5	5	9	9	5	rna polymerase sigma factor sigl
1005326	Bacteria	12	12	0	4	4	16	15	4	dna polymerase iv
1005327	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005330	Bacteria	3	3	0	20	17	23	20	21	Unknown
1005331	Bacteria	4	4	1	11	8	15	12	14	FAD-dependent oxidoreductase
1005333	Bacteria	3	3	0	3	3	6	6	3	Unknown
1005335	Bacteria	3	3	0	6	6	9	9	6	abc transporter permease
1005336	Bacteria	14	14	0	2	2	16	16	3	hypothetical protein
1005337	Bacteria	9	9	2	0	0	9	9	1	Unknown
1005338	Bacteria	3	3	0	1	1	4	4	1	sigb/sigf/sigg family rna polymerase sigma factor
1005344	Bacteria	7	6	0	105	70	112	71	106	xre family transcriptional regulator
1005345	Bacteria	2	2	0	9	8	11	10	9	fad-binding protein
1005348	Bacteria	2	2	0	4	4	6	6	4	thiolase
1005349	Bacteria	5	5	0	1	1	6	6	1	Unknown
1005350	Bacteria	2	1	1	5	3	7	3	6	non-ribosomal peptide synthetase
1005352	Bacteria	2	2	0	19	19	21	20	19	Unknown
1005354	Bacteria	3	3	0	2	2	5	5	2	kr domain-containing protein
1005356	Bacteria	4	4	1	2	2	6	6	3	sugar ABC transporter substrate-binding protein
1005359	Bacteria	2	2	0	4	4	6	6	4	kr domain
1005362	Bacteria	6	5	0	1	1	7	6	1	Unknown
1005364	Bacteria	8	6	1	3	3	11	9	3	ISAs1 family transposase
1005365	Bacteria	10	6	3	9	4	19	9	9	integrase
1005369	Bacteria	4	4	0	14	4	18	7	16	integrase
1005371	Bacteria	5	5	0	2	2	7	7	2	fad-dependent oxidoreductase
1005372	Bacteria	2	2	0	7	7	9	9	7	Unknown
1005375	Bacteria	4	4	0	1	1	5	5	1	Unknown
1005379	Bacteria	2	2	0	4	3	6	5	4	mfs transporter
1005381	Bacteria	6	6	0	2	2	8	8	2	sugar abc transporter substrate-binding protein
1005383	Bacteria	2	2	0	9	8	11	9	9	xre family transcriptional regulator
1005384	Bacteria	11	10	0	1	1	12	11	1	Unknown
1005387	Bacteria	2	2	0	3	3	5	5	3	Unknown
1005389	Bacteria	4	4	0	14	14	18	18	15	biotin transporter bioy
1005396	Bacteria	6	6	0	1	1	7	7	1	Unknown
1005397	Bacteria	4	4	0	7	6	11	9	7	tigr03084 family protein
1005398	Bacteria	11	10	2	44	31	55	39	47	XRE family transcriptional regulator
1005402	Bacteria	2	2	0	17	16	19	18	17	polyprenyl synthetase family protein
1005405	Bacteria	3	3	0	5	5	8	8	5	plasmid stabilization protein
1005407	Bacteria	3	3	0	2	2	5	5	2	dna-binding response regulator
1005408	Bacteria	11	11	0	5	5	16	16	5	Unknown
1005409	Bacteria	6	6	0	4	4	10	10	4	tetr/acrr family transcriptional regulator
1005410	Bacteria	2	2	1	2	2	4	4	3	helix-turn-helix domain-containing protein
1005411	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005415	Bacteria	3	3	0	2	2	5	5	2	sugar phosphotransferase
1005416	Bacteria	2	2	1	6	6	8	6	7	XRE family transcriptional regulator
1005417	Bacteria	4	4	1	15	13	19	15	15	DNA-binding response regulator
1005418	Bacteria	2	2	0	3	3	5	5	3	fad-dependent monooxygenase
1005419	Bacteria	3	3	0	7	7	10	9	7	glycosyltransferase
1005420	Bacteria	6	4	0	2	2	8	6	2	aldo/keto reductase
1005421	Bacteria	2	2	1	1	1	3	3	2	transcriptional regulator
1005422	Bacteria	2	2	0	5	5	7	6	5	Unknown
1005423	Bacteria	4	4	0	3	3	7	7	3	Unknown
1005424	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005425	Bacteria	2	2	0	4	4	6	6	4	Unknown
1005426	Bacteria	17	17	0	12	10	29	25	12	mfs transporter
1005427	Bacteria	5	5	0	32	27	37	28	34	atp-binding protein
1005428	Bacteria	5	4	2	22	7	27	11	22	IS1182 family transposase
1005429	Bacteria	11	11	2	56	39	67	45	59	cytochrome P450
1005431	Bacteria	2	2	1	3	3	5	5	3	SMI1/KNR4 family protein
1005432	Bacteria	13	13	0	1	1	14	14	1	Unknown
1005433	Bacteria	4	4	2	1	1	5	5	3	IS5 family transposase
1005434	Bacteria	2	2	0	1	1	3	2	1	Unknown
1005436	Bacteria	3	3	0	4	4	7	7	4	phosphotransferase
1005438	Bacteria	2	2	0	3	3	5	5	3	hypothetical protein
1005439	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005441	Bacteria	5	5	1	7	6	12	10	8	acyl-CoA dehydrogenase
1005442	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005445	Bacteria	2	2	0	3	3	5	5	3	hypothetical protein
1005447	Bacteria	2	2	0	4	4	6	6	4	Unknown
1005448	Bacteria	2	2	0	164	81	166	81	167	XRE family transcriptional regulator
1005450	Bacteria	3	3	0	1	1	4	4	1	Unknown
1005459	Bacteria	2	2	1	0	0	2	2	1	Unknown
1005460	Bacteria	6	6	0	1	1	7	7	1	Unknown
1005461	Bacteria	17	17	0	6	6	23	21	6	sugar abc transporter atp-binding protein
1005464	Bacteria	4	4	0	3	3	7	7	3	mandelate racemase
1005466	Bacteria	12	12	2	2	2	14	14	4	hypothetical protein
1005467	Bacteria	2	2	1	0	0	2	2	1	Unknown
1005468	Bacteria	2	2	1	5	5	7	7	5	alpha-galactosidase
1005469	Bacteria	2	1	2	0	0	2	1	1	Unknown
1005473	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005476	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005478	Bacteria	5	5	0	6	6	11	11	6	sulfatase-modifying factor protein
1005480	Bacteria	5	5	0	4	4	9	9	4	Unknown
1005481	Bacteria	3	3	0	1	1	4	4	1	Unknown
1005483	Bacteria	9	9	0	5	5	14	13	5	aspartate aminotransferase family protein
1005485	Bacteria	4	4	0	9	9	13	11	9	penicillin-binding protein
1005486	Bacteria	7	7	4	23	19	30	22	28	MoxR family ATPase
1005492	Bacteria	4	4	0	1	1	5	5	1	Unknown
1005493	Bacteria	2	2	1	1	1	3	3	2	membrane protein
1005495	Bacteria	2	1	0	1	1	3	2	1	Unknown
1005497	Bacteria	2	2	0	3	3	5	5	3	lrp/asnc family transcriptional regulator
1005499	Bacteria	2	1	0	1	1	3	2	1	Unknown
1005501	Bacteria	2	1	0	88	82	90	82	91	AraC family transcriptional regulator
1005506	Bacteria	9	9	0	7	7	16	16	8	iron abc transporter permease
1005511	Bacteria	2	2	2	2	2	4	4	4	hypothetical protein
1005512	Bacteria	2	2	0	5	5	7	7	5	mfs transporter
1005513	Bacteria	3	3	0	3	3	6	5	3	carbohydrate abc transporter permease
1005518	Bacteria	7	7	0	1	1	8	8	1	Unknown
1005519	Bacteria	11	11	0	2	2	13	13	2	benzoylsuccinyl-coa thiolase
1005521	Bacteria	23	23	1	3	3	26	26	4	sirohydrochlorin chelatase
1005526	Bacteria	5	5	0	1	1	6	6	1	Unknown
1005527	Bacteria	9	9	0	1	1	10	10	1	Unknown
1005529	Bacteria	7	7	0	5	5	12	12	5	beta-xylosidase
1005530	Bacteria	12	11	0	3	3	15	14	3	tyrosinase
1005534	Bacteria	11	11	2	1	1	12	12	1	beta-xylosidase
1005535	Bacteria	2	2	1	16	16	18	18	17	hypothetical protein
1005537	Bacteria	10	10	0	1	1	11	11	1	Unknown
1005540	Bacteria	7	7	0	2	2	9	9	2	nucleoside deaminase
1005543	Bacteria	2	2	0	32	21	34	22	32	1,4-beta-xylanase
1005544	Bacteria	3	3	0	17	15	20	17	17	alpha-l-arabinofuranosidase
1005545	Bacteria	3	3	0	9	8	12	11	9	sulp family inorganic anion transporter
1005547	Bacteria	5	5	0	8	8	13	11	9	septum formation initiator
1005548	Bacteria	4	4	0	26	22	30	24	30	Unknown
1005550	Bacteria	5	4	0	1	1	6	5	1	Unknown
1005554	Bacteria	7	7	0	5	5	12	12	5	rna polymerase sigma factor
1005557	Bacteria	2	2	0	4	4	6	5	4	sensor histidine kinase
1005558	Bacteria	2	2	0	4	4	6	6	4	hypothetical protein
1005559	Bacteria	3	3	0	1	1	4	4	1	Unknown
1005560	Bacteria	11	11	0	8	8	19	17	8	abc transporter
1005561	Bacteria	7	7	0	1	1	8	8	1	Unknown
1005562	Bacteria	2	2	1	20	18	22	19	21	WD-40 repeat-containing protein
1005563	Bacteria	5	5	0	4	4	9	9	5	hamp domain-containing protein
1005565	Bacteria	2	2	0	2	2	4	4	2	type vii secretion-associated serine protease mycosin
1005569	Bacteria	5	5	0	1	1	6	6	1	Unknown
1005570	Bacteria	24	22	0	5	5	29	27	5	abc transporter permease
1005572	Bacteria	3	3	0	1	1	4	4	2	Unknown
1005573	Bacteria	6	6	0	2	2	8	7	2	nadh dehydrogenase
1005574	Bacteria	4	4	0	0	0	4	4	1	Unknown
1005575	Bacteria	8	8	0	16	14	24	18	16	hydrolase
1005576	Bacteria	3	3	0	2	1	5	4	2	moxr family atpase
1005577	Bacteria	2	2	0	15	14	17	16	16	lysr family transcriptional regulator
1005578	Bacteria	5	5	0	2	2	7	7	2	hypothetical protein
1005583	Bacteria	7	5	1	4	3	11	8	4	IS5/IS1182 family transposase
1005584	Bacteria	2	2	1	7	6	9	8	8	hypothetical protein
1005589	Bacteria	2	2	0	2	2	4	4	2	aldehyde dehydrogenase
1005590	Bacteria	2	2	0	4	4	6	6	4	sugar-binding protein
1005594	Bacteria	2	2	0	4	4	6	6	4	carbohydrate kinase
1005595	Bacteria	2	2	1	6	6	8	8	6	alpha-mannosidase
1005596	Bacteria	2	2	0	2	2	4	4	2	serine/threonine-protein phosphatase
1005598	Bacteria	6	6	0	1	1	7	7	1	Unknown
1005599	Bacteria	5	5	2	4	4	9	8	4	IS701 family transposase
1005600	Bacteria	4	4	1	1	1	5	5	2	transposase
1005601	Bacteria	5	5	0	6	5	11	10	6	pectate lyase
1005603	Bacteria	7	7	5	56	43	63	49	62	atp-binding protein
1005606	Bacteria	2	2	0	4	4	6	6	4	aldo/keto reductase
1005608	Bacteria	11	11	0	6	5	17	15	6	beta-ketoacyl synthase
1005610	Bacteria	3	3	0	4	4	7	7	4	rna polymerase sigma factor sigm
1005612	Bacteria	2	2	0	8	8	10	10	8	Unknown
1005615	Bacteria	2	2	0	5	4	7	6	5	asch domain-containing protein
1005616	Bacteria	4	4	0	1	1	5	5	1	Unknown
1005618	Bacteria	3	3	0	3	3	6	6	3	cpbp family
1005620	Bacteria	2	2	1	22	14	24	15	23	ATP/GTP-binding protein
1005622	Bacteria	9	9	0	5	5	14	14	5	metallophosphoesterase
1005624	Bacteria	2	2	0	7	5	9	7	7	methylaspartate mutase
1005625	Bacteria	3	2	0	1	1	4	3	1	Unknown
1005626	Bacteria	20	19	0	15	15	35	30	15	duf742 domain-containing protein
1005628	Bacteria	3	3	0	4	4	7	7	4	ndp-hexose 2,3-dehydratase
1005630	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005631	Bacteria	3	3	0	1	1	4	4	1	Unknown
1005633	Bacteria	10	10	2	48	26	58	31	49	ISL3 family transposase
1005637	Bacteria	3	3	0	11	11	14	14	12	sugar abc transporter
1005639	Bacteria	2	2	0	1	1	3	3	1	Unknown
1005641	Bacteria	9	9	0	9	9	18	18	9	sugar abc transporter permease
1005646	Bacteria	7	7	0	5	5	12	12	5	Unknown
1005650	Bacteria	9	9	2	13	13	22	19	15	ATPase AAA
1005652	Bacteria	24	21	0	20	19	44	37	20	Unknown
1005653	Bacteria	4	4	0	55	46	59	48	57	ATP-binding protein
1005654	Bacteria	2	2	0	3	3	5	4	3	sensor histidine kinase
1005656	Bacteria	4	4	3	6	6	10	10	9	type II secretion system F family protein
1005657	Bacteria	2	2	1	5	4	7	5	6	thymidylate synthase
1005658	Bacteria	2	2	1	1	1	3	3	2	thymidylate synthase
1005659	Bacteria	4	4	0	2	2	6	6	2	liga protein
1005660	Bacteria	4	4	0	6	5	10	8	6	gntr family transcriptional regulator
1005666	Bacteria	4	4	0	2	2	6	6	2	hypothetical protein
1005667	Bacteria	2	2	0	3	3	5	5	3	abc transporter
1005668	Bacteria	12	12	0	1	1	13	13	1	Unknown
1005670	Bacteria	2	2	0	3	3	5	5	3	transcription regulator asnc
1005671	Bacteria	2	2	0	14	12	16	14	14	transposase
1005672	Bacteria	7	7	0	9	9	16	15	9	duf742 domain-containing protein
1005674	Bacteria	3	3	0	16	15	19	17	16	polyprenyl synthetase family protein
1005677	Bacteria	9	9	1	5	5	14	14	6	gfo/Idh/MocA family oxidoreductase
1005678	Bacteria	3	3	0	1	1	4	4	1	Unknown
1005679	Bacteria	2	2	1	1	1	3	3	1	IS5/IS1182 family transposase
1005694	Bacteria	3	1	0	1	1	4	1	1	Unknown
1005695	Bacteria	19	11	9	30	26	49	33	35	IS701 family transposase
1005696	Bacteria	2	1	0	12	7	14	8	12	transposase
1005697	Bacteria	2	1	0	2	2	4	3	2	transposase
1005699	Bacteria	2	1	0	3	1	5	2	3	is630 family transposase
1005700	Bacteria	3	2	0	2	2	5	4	2	y4ya family plp-dependent enzyme
