id	name	num_orgs	num_tta_genes	num_fs	num_tta_fs_genes	descr
1005798	laci family transcriptional regulator (43)	44	43	3	2	NULL
1005016	helix-turn-helix transcriptional regulator (20)	43	41	2	0	luxr family transcriptional regulator (12);hypothetical protein (8);transcriptional regulator (1)
1005805	sugar transferase (31)	45	37	9	1	glycosyl transferase (4);transferase (1);exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase (1)
1007151	pas domain s-box protein (14)	37	35	2	0	phosphatase (12);hypothetical protein (3);protein phosphatase (3);magnesium or manganese-dependent protein phosphatase (2);stage ii sporulation protein e (1)
1009130	cytochrome p450 (34)	49	34	15	0	hypothetical protein (1)
1007057	pucr family transcriptional regulator (31)	35	33	2	0	regulatory protein (1);transcriptional regulator (1)
1009107	atp-binding protein (16)	45	33	12	0	sensor histidine kinase (6);hypothetical protein (3);roadblock/lc7 domain-containing protein (3);dynein regulation protein lc7 (2);histidine kinase (2);hamp domain-containing protein (2);sensor kinase (1)
1005427	atp-binding protein (21)	37	32	5	0	hypothetical protein (7);signal transduction histidine kinase (1);pas sensor protein (1);serine/threonine protein phosphatase (1);abaa-like regulatory protein (1)
1008657	hypothetical protein (31)	32	32	2	2	NULL
1005783	long-chain fatty acid--coa ligase (13)	37	30	7	0	hypothetical protein (6);5-aminolevulinate synthase (3);2-aminobenzoate-coa ligase (2);fatty acid--coa ligase (1);amide synthetase (1);substrate-coa ligase (1);kr domain-containing protein (1);sdr family nad(p)-dependent oxidoreductase (1);fatty acid:c...
1006064	pas domain-containing sensor histidine kinase (25)	35	30	5	0	dna-binding response regulator (2);histidine kinase (2);sensor histidine kinase (1)
1006580	laci family transcriptional regulator (23)	39	30	9	0	hypothetical protein (5);hth domain-containing protein (1);laci family dna-binding transcriptional regulator (1)
1008101	hypothetical protein (17)	34	30	4	0	cbxx/cfqx (9);atpase (1);aaa family atpase (1);cbxx/cfqx family protein (1);atpase aaa (1)
1009026	mfs transporter (29)	34	29	5	0	aminoglycoside phosphotransferase family protein (1);hypothetical protein (1)
1006087	hypothetical protein (18)	31	28	3	0	tat pathway signal protein (4);transcriptional regulator (3);xre family transcriptional regulator (2);site-specific integrase (1);tat pathway signal sequence domain protein (1)
1005486	moxr family atpase (12)	30	26	7	3	atp/gtp-binding protein (10);hypothetical protein (9);aaa family atpase (5);atp-binding protein (2);atpase aaa (2);tir domain-containing protein (1);toll/interleukin-1 receptor domain-containing protein (1)
1007449	mmpl family transporter (20)	28	26	2	0	hypothetical protein (3);membrane protein (3)
1005204	hypothetical protein (24)	26	24	2	0	acyltransferase (1)
1005810	pkd domain-containing protein (10)	26	24	3	1	glucose/sorbosone dehydrogenase-like protein (3);duf1080 domain-containing protein (3);hypothetical protein (2);glycoside hydrolase (2);sugar dehydrogenase (2);endo-alpha-1,2-mannosidase (1)
1007358	atp-grasp ribosomal peptide maturase (14)	27	24	3	0	methyltransferase domain-containing protein (5);hypothetical protein (3);methyltransferase (2);methyltransferase, fxld system (1);protein-l-isoaspartate o-methyltransferase (1)
1005775	hypothetical protein (8)	25	23	2	0	xre family transcriptional regulator (5);tat pathway signal sequence domain protein (5);n-acetyltransferase (4);tat pathway signal protein (2);tetratricopeptide repeat protein (1)
1008614	endoglucanase (7)	25	23	2	0	glycosyl hydrolase family 5 (5);cellulose-binding protein (4);esterase (3);glucose/sorbosone dehydrogenase-like protein (1);hypothetical protein (1);cellulase b (1);xyloglucanase (1)
1005620	atp/gtp-binding protein (13)	24	22	2	0	hypothetical protein (11);tetratricopeptide repeat protein (3)
1005859	nucleotide sugar dehydrogenase (21)	24	22	3	1	glycosyltransferase wbub (3);udp-glucose/gdp-mannose dehydrogenase family protein (1)
1006329	lysm peptidoglycan-binding domain-containing protein (16)	24	22	2	0	peptidase (3);m23 family peptidase (1);peptidase m23 (1);duf3710 domain-containing protein (1)
1005562	hypothetical protein (15)	22	21	2	1	wd40 repeat domain-containing protein (3);tir domain-containing protein (1);wd-40 repeat-containing protein (1);xre family transcriptional regulator (1);transposase (1)
1006042	arsr family transcriptional regulator (14)	23	21	2	0	transcriptional regulator (5);hypothetical protein (2)
1006622	serine/threonine protein kinase (13)	33	21	12	0	hypothetical protein (3);tetratricopeptide repeat protein (3);pe-pgrs family protein (1);duf1998 domain-containing protein (1);duf2236 domain-containing protein (1)
1006628	mfs transporter (18)	23	21	2	0	3-oxoacyl-acp reductase (2);sdr family nad(p)-dependent oxidoreductase (1)
1008331	hypothetical protein (9)	23	21	2	0	xre family transcriptional regulator (7);transcriptional regulator (5)
1009075	hypothetical protein (15)	30	21	10	1	diacylglyceryl transferase (6)
1005161	glycosyltransferase family 4 protein (18)	22	20	2	0	hypothetical protein (2)
1006073	response regulator (8)	25	20	6	1	hybrid sensor histidine kinase/response regulator (4);fused response regulator/phosphatase (3);hamp domain-containing protein (3);protein phosphatase (2)
1006186	aminotransferase (8)	24	20	4	0	hypothetical protein (7);glycogen debranching protein (5);amylo-alpha-1,6-glucosidase (2)
1008698	amino acid adenylation domain-containing protein (4)	28	20	8	0	type i polyketide synthase (3);non-ribosomal peptide synthetase (3);non-ribosomal peptide synthase (2);peptide synthetase (2);kr domain-containing protein (1);hypothetical protein (1);type-i pks (1);amino acid adenylation protein (1);formyl transferase...
1009017	cytochrome p450 (20)	22	20	2	0	NULL
1005123	hypothetical protein (7)	28	19	10	1	n-acetylmuramoyl-l-alanine amidase (4);esterase (3);vcbs repeat-containing protein (2);fusidic acid esterase (1);integrin-like protein (1)
1005723	dehydrogenase (15)	21	19	2	0	gfo/idh/moca family oxidoreductase (2);degt/dnrj/eryc1/strs family aminotransferase (1);oxidoreductase nad-binding domain protein (1);oxidoreductase (1)
1005981	glycoside hydrolase family 2 (8)	21	19	2	0	duf72 domain-containing protein (5);duf4981 domain-containing protein (3);duf4982 domain-containing protein (3);duf3520 domain-containing protein (1)
1007012	laci family transcriptional regulator (6)	21	19	2	0	glycosyl hydrolase (4);beta-glucosidase (3);hypothetical protein (3);glycoside hydrolase family 3 (1);laci family dna-binding transcriptional regulator (1);glycosyl hydrolase family 3 (1)
1009391	hypothetical protein (19)	23	19	4	0	NULL
1005950	hypothetical protein (8)	21	18	3	0	protein kinase (3);xre family transcriptional regulator (3);serine/threonine protein kinase (2);fha domain-containing protein (1);lytic transglycosylase domain-containing protein (1)
1007064	hypothetical protein (18)	23	18	5	0	NULL
1008495	restriction endonuclease (16)	20	18	2	0	hypothetical protein (1);duf2034 domain-containing protein (1)
1008620	serine/threonine-protein phosphatase (17)	20	18	2	0	hypothetical protein (1)
1009118	sige family rna polymerase sigma factor (14)	20	18	2	0	e family rna polymerase sigma-70 factor (3);hypothetical protein (1)
1009281	non-ribosomal peptide synthetase (7)	21	18	3	0	hypothetical protein (6);peptide synthetase (2);amino acid adenylation domain-containing protein (2);d-alanine--poly(phosphoribitol) ligase (1)
1005402	polyprenyl synthetase family protein (10)	19	17	2	0	hypothetical protein (4);tetratricopeptide repeat protein (3)
1005544	alpha-l-arabinofuranosidase (14)	20	17	3	0	glycoside hydrolase (2);glycosyl hydrolase family 62 (1)
1006609	hypothetical protein (12)	20	17	4	1	tetratricopeptide repeat protein (2);xre family transcriptional regulator (1);transcriptional regulator (1)
1005223	protein phosphatase (8)	19	16	3	0	atp-binding protein (5);pas domain s-box protein (1);dna-binding protein (1);magnesium or manganese-dependent protein phosphatase (1)
1005535	hypothetical protein (16)	18	16	2	0	NULL
1005575	hydrolase (9)	24	16	8	0	cellulose-binding protein (5);hypothetical protein (1);putative hydrolase (1)
1005674	polyprenyl synthetase family protein (10)	19	16	3	0	hypothetical protein (4);polyprenyl synthetase (2)
1005712	plp-dependent aminotransferase family protein (15)	18	16	3	1	hypothetical protein (1)
1005724	comea family dna-binding protein (7)	22	16	7	1	dna-binding protein (5);hypothetical protein (4);membrane protein (3);duf4131 domain-containing protein (1);helix-hairpin-helix domain-containing protein (1)
1006564	cellulose 1,4-beta-cellobiosidase (7)	17	16	3	2	cellobiohydrolase (6);1,4-beta-glucanase (2);hypothetical protein (1)
1006689	cytochrome p450 (15)	18	16	2	0	cytochrome p450 oxidoreductase (1)
1008623	mfs transporter (16)	18	16	2	0	fad-dependent oxidoreductase (1);fad-binding protein (1)
1008777	serine/threonine protein kinase (14)	27	16	12	1	hypothetical protein (1);protein kinase (1)
1005142	hypothetical protein (6)	17	15	2	0	afsr/sarp family transcriptional regulator (4);afsr family transcriptional regulator (2);transcriptional regulator (1);sarp family transcriptional regulator (1);atpase (1)
1005178	ggdef domain-containing protein (14)	18	15	3	0	hypothetical protein (1);duf2637 domain-containing protein (1)
1005417	dna-binding response regulator (14)	19	15	4	0	hypothetical protein (1)
1005577	lysr family transcriptional regulator (13)	17	15	2	0	hydrogen peroxide-inducible protein activator (1);transcriptional regulator (1)
1005626	duf742 domain-containing protein (12)	35	15	20	0	roadblock/lc7 domain-containing protein (3)
1005769	is4 family transposase (8)	17	15	2	0	transposase (4);hypothetical protein (2);is4-like element issav1 family transposase (1);is4 family transposase issav1 (1)
1005989	dna primase (9)	17	15	2	0	hypothetical protein (6)
1006881	dna-binding response regulator (13)	21	15	6	0	histidine kinase (1);response regulator (1)
1007543	histidine kinase (6)	17	15	2	0	hypothetical protein (5);two-component sensor histidine kinase (3);sensor histidine kinase (1)
1007834	is630 family transposase (15)	17	15	2	0	NULL
1008311	ggdef domain-containing protein (8)	17	15	2	0	pas domain s-box protein (5);hypothetical protein (1);phosphodiesterase (1)
1005369	integrase (13)	18	14	4	0	hypothetical protein (1)
1005389	hypothetical protein (6)	18	14	4	0	biotin transporter bioy (6);blda-regulated nucleotide binding protein (1);blda-regulated nucleotide-binding protein (1)
1005650	hypothetical protein (11)	22	14	9	1	atpase aaa (1);aaa family atpase (1);moxr family atpase (1)
1005671	transposase (6)	16	14	2	0	tnsa-like heteromeric transposase endonuclease subunit (5);hypothetical protein (3);integrase (2)
1008033	mfs transporter (14)	16	14	2	0	NULL
1009014	mfs transporter (14)	16	14	2	0	NULL
1005786	amidohydrolase (7)	16	13	3	0	hypothetical protein (3);glutamine synthetase (2);amidohydrolase 2 (1)
1005840	thioesterase (12)	15	13	2	0	hypothetical protein (1);mbth family protein (1)
1006071	glycosyltransferase family 2 protein (6)	16	13	3	0	gtra family protein (6);polyprenol monophosphomannose synthase (1)
1006103	llm class flavin-dependent oxidoreductase (4)	17	13	4	0	tigr03619 family f420-dependent llm class oxidoreductase (4);tigr03621 family f420-dependent llm class oxidoreductase (3);f420-dependent oxidoreductase (1);llm class f420-dependent oxidoreductase (1)
1006847	mfs transporter (12)	15	13	2	0	arsr family transcriptional regulator (1);hypothetical protein (1)
1006969	thiamine biosynthesis protein thif (5)	19	13	6	0	hypothetical protein (4);thif family adenylyltransferase (3);secreted protein (1)
1008408	dna-binding response regulator (12)	15	13	2	0	helix-turn-helix transcriptional regulator (1);abc transporter atp-binding protein (1)
1008724	terd family protein (5)	25	13	12	0	restriction endonuclease (4);dna polymerase iii (2);stress response protein terz (1);hypothetical protein (1)
1008890	endo-1,4-beta-xylanase (12)	16	13	3	0	hypothetical protein (1)
1009249	is3 family transposase (8)	49	13	36	0	hypothetical protein (4);transposase (1);is4 family transposase issav1 (1)
1005172	sugar abc transporter substrate-binding protein (5)	22	12	10	0	abc transporter substrate-binding protein (4);sugar transporter (1);hypothetical protein (1);sugar abc transporter permease (1)
1005174	sigma-70 family rna polymerase sigma factor (6)	14	12	2	0	hypothetical protein (5);rna polymerase sigma factor (1)
1005217	hypothetical protein (10)	14	12	3	1	parh-like protein (2)
1005331	hypothetical protein (5)	15	12	4	1	pyridine nucleotide-disulfide oxidoreductase (4);fad-dependent oxidoreductase (3)
1005426	mfs transporter (7)	29	12	17	0	esterase (4);hypothetical protein (1)
1005696	transposase (8)	14	12	2	0	insertion element transposase (2);is5/is1182 family transposase (2)
1005967	tetratricopeptide repeat protein (5)	13	12	2	1	purine phosphorylase (4);hypothetical protein (2);nucleosidase (1);afsr family transcriptional regulator (1)
1006827	hypothetical protein (12)	13	12	2	1	NULL
1007224	laci family transcriptional regulator (12)	14	12	2	0	NULL
1008572	m1 family peptidase (11)	15	12	3	0	aminopeptidase n (1)
1008663	mfs transporter (12)	14	12	2	0	tetr/acrr family transcriptional regulator (1)
1009216	hypothetical protein (12)	14	12	2	0	NULL
1005015	hypothetical protein (11)	13	11	2	0	sam-dependent methyltransferase (1)
1005637	carbohydrate abc transporter substrate-binding protein (8)	14	11	3	0	sugar abc transporter substrate-binding protein (2);hypothetical protein (1);serine/threonine protein kinase (1)
1005789	fructose-bisphosphate aldolase (7)	14	11	3	0	2-amino-4,5-dihydroxy-6-one-heptanoic acid-7-phosphate synthase (2);hypothetical protein (2)
1005806	integrase (5)	13	11	2	0	site-specific integrase (3);hypothetical protein (2);helix-turn-helix domain-containing protein (1);mobile element protein (1)
1005815	atp-grasp domain-containing protein (6)	14	11	5	2	cysteine synthase (2);siderophore biosynthesis protein (2);cysteine synthase family protein (1)
1006420	mfs transporter (11)	17	11	6	0	NULL
1006854	is110 family transposase (9)	12	11	3	2	hypothetical protein (1)
1007629	class e sortase (10)	14	11	3	0	sortase (1)
1008423	xre family transcriptional regulator (5)	13	11	2	0	kr domain-containing protein (4);sdr family nad(p)-dependent oxidoreductase (1);transcriptional regulator (1)
1008601	cellulose-binding protein (3)	14	11	3	0	cellulose 1,4-beta-cellobiosidase (3);endoglucanase (2);esterase (2);hypothetical protein (1)
1005100	kr domain-containing protein (5)	44	10	34	0	sdr family nad(p)-dependent oxidoreductase (3);3-oxoacyl-(acp) reductase (1);hypothetical protein (1)
1005867	aldehyde dehydrogenase (7)	42	10	33	1	hypothetical protein (2);(5-formylfuran-3-yl)methyl phosphate synthase (2)
1005943	degt/dnrj/eryc1/strs family aminotransferase (4)	12	10	2	0	hypothetical protein (2);epimerase (2);kr domain-containing protein (1);gfo/idh/moca family oxidoreductase (1);dtdp-4-dehydro-6-deoxyglucose aminotransferase (1);phytanoyl-coa dioxygenase family protein (1)
1007163	hypothetical protein (4)	14	10	4	0	serine/threonine protein kinase (4);protein tyrosine kinase (2)
1007183	alpha-l-fucosidase (5)	12	10	2	0	alpha-n-acetylglucosaminidase (2);hypothetical protein (2);alpha-galactosidase (1)
1007860	m23 family peptidase (9)	12	10	2	0	peptidase m23 (1)
1008426	hypothetical protein (3)	13	10	3	0	mfs transporter (2);fad-dependent oxidoreductase (2);fad-dependent monooxygenase (2);monooxygenase (1);oxidoreductase (1);fad-binding protein (1)
1009128	hypothetical protein (5)	49	10	39	0	sigma-70 family rna polymerase sigma factor (4);duf642 domain-containing protein (1)
1009140	aspartate aminotransferase family protein (7)	17	10	7	0	3-phosphoshikimate 1-carboxyvinyltransferase (2);aldehyde dehydrogenase (2);fad-binding oxidoreductase (1);coenzyme f420-reducing hydrogenase (1);cupin domain-containing protein (1)
1004993	endoglucanase (3)	12	9	3	0	cellulose 1,4-beta-cellobiosidase (3);glycosyl hydrolase family 5 (1);glucose/sorbosone dehydrogenase-like protein (1);hypothetical protein (1)
1005024	mfs transporter (9)	12	9	3	0	NULL
1005218	kr domain-containing protein (4)	11	9	2	0	3-oxoacyl-acp reductase fabg (2);3-ketoacyl-acp reductase (1);sdr family oxidoreductase (1);short-chain dehydrogenase (1)
1005242	duf3152 domain-containing protein (9)	12	9	3	0	NULL
1005318	atp-binding protein (5)	11	9	2	0	sensor histidine kinase (3);histidine kinase (1)
1005345	fad-binding protein (6)	11	9	2	0	fad-binding oxidoreductase (2);llm class flavin-dependent oxidoreductase (1)
1005383	xre family transcriptional regulator (7)	11	9	2	0	helix-turn-helix domain-containing protein (1);dna-binding protein, mmyb (1)
1005485	penicillin-binding protein (4)	13	9	4	0	hypothetical protein (2);ftsw/roda/spove family cell cycle protein (1);pbsx family transcriptional regulator (1);penicillin-binding protein 2 (1)
1005545	sulp family inorganic anion transporter (6)	12	9	3	0	transporter (3)
1005641	sugar abc transporter permease (6)	18	9	9	0	carbohydrate abc transporter permease (3)
1005672	duf742 domain-containing protein (7)	16	9	7	0	hypothetical protein (1);roadblock/lc7 domain-containing protein (1)
1005802	class i sam-dependent methyltransferase (5)	12	9	3	0	dna-binding response regulator (2);nudix domain-containing protein (1);atp-binding protein (1);two-component sensor histidine kinase (1)
1005812	methyltransferase domain-containing protein (4)	11	9	2	0	class i sam-dependent methyltransferase (3);dtdp-4-keto-6-deoxy-d-glucose epimerase (1);sam-dependent methyltransferase (1)
1005874	maleylpyruvate isomerase family mycothiol-dependent enzyme (2)	16	9	7	0	rna polymerase subunit sigma-70 (2);hypothetical protein (1);dna-directed rna polymerase sigma-70 factor (1);sigma factor (1);mdmpi n domain containing protein (1);rna polymerase subunit sigma (1)
1005881	hypothetical protein (5)	11	9	2	0	replication initiation protein (5)
1005905	hypothetical protein (3)	11	9	2	0	rok family transcriptional regulator (3);sugar kinase (1);hydrogenase expression protein (1);beta-1,6-galactanase (1)
1006038	rok family transcriptional regulator (5)	14	9	5	0	rok family protein (3);hth domain-containing protein (1)
1006056	atp-grasp domain-containing protein (8)	12	9	3	0	duf317 domain-containing protein (1);hypothetical protein (1)
1006078	glycogen debranching enzyme glgx (7)	11	9	2	0	glycogen debranching enzyme (1);pullulanase-type alpha-1,6-glucosidase (1)
1006971	cytochrome p450 (9)	11	9	2	0	NULL
1007375	asparagine synthase (glutamine-hydrolyzing) (6)	11	9	2	0	acetolactate synthase (1);hypothetical protein (1);asparagine synthetase b (1)
1007488	sugar abc transporter substrate-binding protein (3)	14	9	5	0	abc transporter substrate-binding protein (2);sugar abc transporter permease (2);sugar transporter (1);sugar transporter sugar binding lipoprotein (1)
1007514	helix-turn-helix transcriptional regulator (4)	11	9	2	0	luxr family transcriptional regulator (3);hypothetical protein (2)
1007812	is21 family transposase (4)	11	9	2	0	atpase aaa (3);tigr00645 family protein (3);aaa family atpase (1)
1007814	non-ribosomal peptide synthetase (4)	18	9	10	1	peptide synthetase (3);hypothetical protein (2)
1007827	hypothetical protein (5)	11	9	2	0	pbs lyase (2);heat repeat domain-containing protein (2)
1007833	hypothetical protein (4)	12	9	5	2	serine/threonine protein kinase (2);protein kinase (1);vwa domain-containing protein (1)
1007962	mfs transporter (9)	11	9	2	0	NULL
1008323	hypothetical protein (9)	11	9	2	0	NULL
1008363	degt/dnrj/eryc1/strs aminotransferase family protein (4)	14	9	5	0	hypothetical protein (3);lipopolysaccharide biosynthesis protein (1);membrane protein (1)
1008747	non-ribosomal peptide synthetase (4)	13	9	4	0	hypothetical protein (3);non-ribosomal peptide synthase (1);methyltransferase domain-containing protein (1);amino acid adenylation domain-containing protein (1)
1008770	mfs transporter (7)	11	9	2	0	s9 family peptidase (2)
1008817	cytochrome p450 (8)	12	9	3	0	hypothetical protein (1);yqci/ycgg family protein (1)
1004964	chad domain-containing protein (7)	19	8	11	0	hypothetical protein (1)
1005062	hypothetical protein (5)	11	8	3	0	non-ribosomal peptide synthetase (2);amino acid adenylation domain-containing protein (1)
1005252	ripp maturation radical sam protein 1 (5)	11	8	3	0	b12-binding domain-containing radical sam protein (2);hypothetical protein (1);abc transporter (1)
1005310	cyclic nucleotide-binding domain-containing protein (8)	11	8	3	0	NULL
1005441	acyl-coa dehydrogenase (8)	12	8	5	1	NULL
1005547	septum formation initiator (5)	13	8	5	0	pilus assembly protein cpaf (1);secretion protein (1);cpaf family protein (1)
1005560	hypothetical protein (3)	19	8	11	0	abc transporter atp-binding protein (2);multidrug abc transporter atp-binding protein (2);abc transporter (1)
1005584	hypothetical protein (8)	9	8	2	1	NULL
1005656	hypothetical protein (7)	10	8	4	2	type ii secretion system f family protein (1)
1005736	amino acid permease (8)	10	8	2	0	NULL
1005795	laci family transcriptional regulator (6)	13	8	5	0	alpha-glucosidase (1);hth domain-containing protein (1)
1005899	asparagine synthase (5)	10	8	2	0	asparagine synthetase b family protein (2);pqqd family protein (1);lasso peptide isopeptide bond-forming cyclase (1)
1005932	mfs transporter (6)	9	8	2	1	actinorhodin transporter (1)
1006005	amino acid permease (5)	10	8	2	0	apc family permease (3)
1006649	hypothetical protein (4)	10	8	2	0	alpha/beta hydrolase (4)
1006693	pkd domain-containing protein (6)	10	8	2	0	oxidoreductase (1);glycosyl hydrolase (1)
1006958	hypothetical protein (6)	14	8	6	0	membrane protein (1);dna internalization competence protein comec/rec2-like protein (1)
1006959	hypothetical protein (5)	10	8	2	0	fad-dependent oxidoreductase (1);3-(3-hydroxyphenyl)propionate hydroxylase (1);polyketide oxidase (1)
1007068	lysr family transcriptional regulator (6)	11	8	3	0	hydrogen peroxide-inducible protein activator (1);serine hydrolase (1)
1007166	pectate lyase (7)	9	8	2	1	NULL
1007337	aminodeoxychorismate synthase component i (6)	11	8	3	0	aminodeoxychorismate synthase (1);acyl-coa synthase (1);anthranilate synthase (1)
1007398	coa transferase (6)	10	8	2	0	hypothetical protein (1);formyl-coa transferase (1)
1007485	oxidoreductase (4)	11	8	3	0	formate dehydrogenase (1);molybdopterin dinucleotide-binding protein (1);nadh dehydrogenase subunit f (1);nitrite reductase (1)
1007516	mfs transporter (6)	8	8	2	2	NULL
1007701	mfs transporter (8)	10	8	2	0	NULL
1007763	hypothetical protein (5)	10	8	2	0	peptidoglycan-binding protein (3)
1007869	is110 family transposase (8)	9	8	2	1	NULL
1008223	site-specific integrase (5)	10	8	2	0	integrase (2);hypothetical protein (1)
1008443	hypothetical protein (3)	15	8	7	0	phospholipid carrier-dependent glycosyltransferase (1);polysaccharide synthesis protein gtra (1);gtra family protein (1);glycosyltransferase family 2 protein (1);sugar translocase (1)
1008468	epimerase (2)	10	8	2	0	kr domain-containing protein (2);activator-dependent family glycosyltransferase (1);sdr family nad-dependent epimerase/dehydratase (1);duf1205 domain-containing protein (1);udp-glucose 4-epimerase (1);hypothetical protein (1)
1008517	transposase (8)	10	8	2	0	NULL
1009097	hypothetical protein (4)	10	8	2	0	long-chain fatty acid--coa ligase (3);acyl-coa transferase (1);amp-dependent synthetase (1)
1004911	is5/is1182 family transposase (6)	12	7	6	1	hypothetical protein (1)
1004917	fad-dependent oxidoreductase (2)	9	7	3	1	nad(p)/fad-dependent oxidoreductase (2);fad-binding protein (1);hypothetical protein (1);amine oxidase (1)
1004974	nad(p)/fad-dependent oxidoreductase (3)	14	7	7	0	atp-grasp domain-containing protein (2);dimethylaniline monooxygenase (1);d-aspartate ligase (1)
1005020	ohcu decarboxylase (7)	9	7	2	0	NULL
1005101	amino acid adenylation protein (2)	11	7	4	0	amino acid adenylation domain-containing protein (2);hypothetical protein (2);non-ribosomal peptide synthetase (1)
1005105	iron-siderophore abc transporter substrate-binding protein (5)	10	7	3	0	hypothetical protein (2)
1005173	hypothetical protein (4)	12	7	5	0	peptidase s15 (2);abc transporter atp-binding protein (1)
1005397	tigr03084 family protein (5)	11	7	4	0	duf1446 domain-containing protein (4)
1005419	glycosyltransferase (5)	10	7	3	0	duf1205 domain-containing protein (1);acyl carrier protein (1)
1005506	iron abc transporter permease (4)	16	7	9	0	hypothetical protein (1);abc transporter permease (1);abc transporter substrate-binding protein (1)
1005624	methylaspartate mutase (7)	9	7	2	0	methylmalonyl-coa mutase (2);histidinol-phosphate transaminase (1);hypothetical protein (1)
1005785	fad-binding protein (4)	13	7	6	0	hypothetical protein (3)
1005990	abc transporter atp-binding protein (5)	13	7	7	1	transporter (2);translation initiation factor if-2 (1);hypothetical protein (1)
1006059	hypothetical protein (2)	12	7	5	0	2-polyprenyl-6-methoxyphenol hydroxylase (1);dtdp-4-dehydrorhamnose reductase (1);gdp-mannose 4,6-dehydratase (1);sdr family nad(p)-dependent oxidoreductase (1);glycosyltransferase (1)
1006075	aminotransferase class v-fold plp-dependent enzyme (6)	10	7	3	0	cysteine desulfurase (1)
1006448	doxx family protein (4)	9	7	2	0	endoglucanase (3)
1006615	tetr/acrr family transcriptional regulator (7)	10	7	3	0	NULL
1006642	4-alpha-glucanotransferase (7)	9	7	2	0	NULL
1006678	branched-chain amino acid abc transporter permease (3)	15	7	8	0	arac family transcriptional regulator (2);hypothetical protein (1);branched-chain amino acid permease (1)
1007021	rna polymerase sigma factor (4)	9	7	2	0	sigma-70 family rna polymerase sigma factor (3)
1007047	sigma-70 family rna polymerase sigma factor (6)	10	7	4	1	hypothetical protein (1)
1007422	hypothetical protein (3)	9	7	2	0	cytochrome p450 (3);chalcone synthase (1)
